	Косинусная мера	Идентификатор обращения	Ответ ЧАВО	Сообщение
353	0.9503843615489106	00000000-0001-0000-0018-000109743976	По нашей информации сбои в работе сервиса могут возникать только в  случае, если на стороне Вашего оператора связи установлен запрет на прием смс с коротких номеров или от компаний. Просим Вас обратиться к своему оператору связи за уточнением.	По нашей информации сбои в работе сервиса могут возникать только в  случае, если на стороне Вашего оператора связи установлен запрет на прием смс с коротких номеров или от компаний. Просим Вас обратиться к своему оператору связи за уточнением.
391	0.6153515069238726	00000000-0001-0000-0018-000109744208	Установить мобильное приложение «Газпромнефть» (скачать в Google Play, App Store)Зарегистрироваться в программе лояльности «Мир». Это можно сделать двумя способами:на сайте «Привет, МИР» в профиле приложения «Газпромнефть» в разделе «Получить кэшбэк 10%», или нажав на баннер «Стать участником Акции» и указав номер банковской карты «Мир» В приложении «Газпромнефть» добавить карту “Мир” в Способы оплаты Совершить покупку и заправку топлива на сумму не менее 1500 рублей на АЗС сети «Газпромнефть» через мобильное приложение «Газпромнефть» с использованием карты «Мир».	Нужно привязать к данному приложению Вашу карту «Мир», нажать в приложении на баннер «Стать участником Акции» и указать номер карты «Мир». Потом совершить покупку топлива на сумму не менее 1500 рублей на АЗС «Газпромнефть» через мобильное приложение АЗС.GO с использованием карты «Мир». 
397	0.6904167807120152	00000000-0001-0000-0018-000109744214	Нет, таких АЗС нет.	Нет, к сожалению, точной даты нет.
438	0.6146804622911209	00000000-0001-0000-0018-000109744467	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Сообщите, пожалуйста, номер Вашей бонусной карты без пробелов.
448	0.6146804622911209	c16e93d8-1478-4b34-8d3d-a0670a4dbb27	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Сообщите, пожалуйста, номер Вашей бонусной карты без пробелов.
461	0.9542070090235402	00000000-0001-0000-0018-000109744664	Привязка банковской карты в профиле:  - на карте (в правом верхнем углу) входим в «профиль»  - в «профиле» выбираем «способы оплаты» - в «способы оплаты» нажимаем вкладку «добавить новую карту» - заполняем данные карты в форму - после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет. - после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.	"Привязка банковской карты в профиле: 
- на карте (в правом верхнем углу) входим в «профиль» 
- в «профиле» выбираем «способы оплаты»
- в «способы оплаты» нажимаем вкладку «добавить новую карту»
- заполняем данные карты в форму
- после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет.
- после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.
"
531	0.9457997349305733	00000000-0001-0000-0018-000109745130	Привязка банковской карты в профиле:  - на карте (в правом верхнем углу) входим в «профиль»  - в «профиле» выбираем «способы оплаты» - в «способы оплаты» нажимаем вкладку «добавить новую карту» - заполняем данные карты в форму - после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет. - после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.	"Спасибо за ожидание. Привязка банковской карты в профиле: 
- на карте (в правом верхнем углу) входим в «профиль» 
- в «профиле» выбираем «способы оплаты»
- в «способы оплаты» нажимаем вкладку «добавить новую карту»
- заполняем данные карты в форму
- после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет.
- после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.
"
559	0.9460676616814433	00000000-0001-0000-0018-000109745287	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.
593	0.6796210009566039	00000000-0001-0000-0018-000109745482	В соответствии с условиями Программы лояльности, к одному номеру телефона может быть привязано не более двух бонусных карт, поэтому в приложение можно добавить не более двух карт.	Спасибо за ожидание. Согласно правилам программы лояльности, к одному номеру телефона может быть привязано не более двух карт. 
670	0.8201141017102208	00000000-0001-0000-0018-000109745877	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак
"
751	0.6146804622911209	cafe96b4-0bae-47c0-a8c7-57dcfbc43725	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Сообщите, пожалуйста, номер Вашей бонусной карты без пробелов.
838	0.743758627526275	00000000-0001-0000-0018-000109747222	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Спасибо за ожидание. Вы можете оплатить через приложение или на кассе. Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак
"
841	0.7225609164422864	00000000-0001-0000-0018-000109747343	Все АЗС сети «Газпромнефть», расположенные на территории РФ.	Да, в акции участвуют все АЗС сети «Газпромнефть», расположенные на территории РФ, за исключением нескольких станций. 
913	0.6577693567051268	00000000-0001-0000-0018-000109748203	Установить мобильное приложение «Газпромнефть» (скачать в Google Play, App Store)Зарегистрироваться в программе лояльности «Мир». Это можно сделать двумя способами:на сайте «Привет, МИР» в профиле приложения «Газпромнефть» в разделе «Получить кэшбэк 10%», или нажав на баннер «Стать участником Акции» и указав номер банковской карты «Мир» В приложении «Газпромнефть» добавить карту “Мир” в Способы оплаты Совершить покупку и заправку топлива на сумму не менее 1500 рублей на АЗС сети «Газпромнефть» через мобильное приложение «Газпромнефть» с использованием карты «Мир».	Спасибо за ожидание. Нужно установить приложение АЗС.GO (скачать в Google Play, App Store), привязать к нему Вашу карту «Мир», нажать в приложении на баннер «Стать участником Акции» и указать номер карты «Мир». Потом совершить покупку топлива на сумму не менее 1500 рублей на АЗС «Газпромнефть» через мобильное приложение АЗС.GO с использованием карты «Мир». 
917	0.9662644503280563	00000000-0001-0000-0018-000109748203	Вы можете найти информацию об условиях проведения акции из следующих источников: Сайт www.gpnbonus.ru; Сайт privetmir.ru; Телефон Единого центра поддержки клиентов: 8-800-700-51-51 (звонок по России бесплатный); Телефону горячей линии платежной системы «Мир»: 8-800-100-54-64 (звонок по России бесплатный);  На АЗС «Газпромнефть», участвующих в Акции.	"Вы можете найти информацию об условиях проведения акции из следующих источников:
	Сайт www.gpnbonus.ru;
	Сайт privetmir.ru;
	Телефон Единого центра поддержки клиентов: 8-800-700-51-51 (звонок по России бесплатный);
	Телефону горячей линии платежной системы «Мир»: 8-800-100-54-64 (звонок по России бесплатный);
	На АЗС «Газпромнефть», участвующих в Акции.
"
922	0.7719094272393158	00000000-0001-0000-0018-000109748240	Нет, таких АЗС нет.	Здравствуйте! Нет.
933	0.7864917995596006	00000000-0001-0000-0018-000109748302	Бонусная карта программы лояльности «Нам по пути» является чиповой пластиковой картой, поэтому технически не может функционировать посредством сторонних приложений. Для того, чтобы Вы могли начислять бонусы не прикладывая пластиковую карту, мы разработали цифровую ко-бренд карту. Это совместная карта «Газпромбанк» и «Газпромнефть», размещенная в одном из платежных приложений Apple Wallet, Google Pay, Samsung Pay, т.е. банковская карта, и карта программы лояльности «Нам по пути» в Вашем мобильном устройстве. Оплачивая покупки по цифровой ко-бренд карте, Вы автоматически получаете бонусы по программе лояльности в одно касание и можете использовать эту карту для оплаты покупок в сети АЗС «Газпромнефть» бонусами. К тому же, у этой карты неснижаемый золотой статус и бонусы начисляются не только при покупках в сети АЗС «Газпромнефть», но и на все покупки по банковской карте в размере 1% от суммы чека.	"Цифровая ко-бренд карта – это совместная карта «Газпромбанк» и «Газпромнефть», размещенная в одном из платежных приложений Apple Wallet, Google Pay, Samsung Pay, т.е. банковская карта, и карта программы лояльности «Нам по пути» в Вашем мобильном устройстве. 
Оплачивая покупки по цифровой ко-бренд карте, Вы автоматически получаете бонусы по программе лояльности в одно касание и можете использовать эту карту для оплаты покупок в сети АЗС «Газпромнефть» бонусами. 
"
935	0.7377657925813456	00000000-0001-0000-0018-000109748302	"Мобильное приложение – собственная разработка компании «Газпром нефть». С его помощью Вы можете оплачивать топливо на АЗС «Газпромнефть» со своего смартфона. На АЗС с помощью приложения можно: ●	Выбрать колонку; ●	Выбрать вид топлива, количество литров или сумму; ●	Оплатить заказ с помощью банковской карты, Apple Pay или бонусами программы лояльности “Нам по пути”. Сервис Google Pay на данный момент находится в разработке. После заправки Вы получаете информацию о заказе и фискальный чек на электронный адрес Вашей почты, указанный в профиле.  За пределами АЗС Вы можете ●	Просматривать АЗС на карте; ●	Просматривать цены на выбранное топливо; ●	Редактировать свой профиль: добавить в него номер телефона, адрес электронной почты, привязать банковские карты, зарегистрироваться в акции “МИР”, выбрать карту лояльности “Нам по пути” по умолчанию для начисления бонусов; ●	Просматривать историю заказов; ●	Просматривать баланс бонусной карты “Нам по пути”."	"Для удобства  можем рекомендовать установить приложение «АЗС Go»  .

 Мобильное приложение – собственная разработка компании «Газпром нефть». С его помощью Вы можетеоплачивать топливо на АЗС «Газпромфнеть» со своего смартфона 

На АЗС с помощью приложения можно:
-Выбрать колонку
-Выбрать вид топлива, количество литров или сумму, 
-Оплатить заказ с помощью банковской карты, Apple Pay или Google Pay;

После заправки Вы получаете информацию о заказе
и фискальный чек на электронный адрес, указанный в профиле.

За пределами АЗС Вы можете
- Просматривать АЗС на карте;
- Просматривать цены на выбранное топливо;
- Редактировать свой профиль: добавить в него номер телефона, адрес электронной почты, привязать банковские карты, указать любимые типы топлива и объем бака своего автомобиля.

"
963	0.9460676616814433	00000000-0001-0000-0018-000109748654	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.
964	0.7010734076510069	00000000-0001-0000-0018-000109748654	Для того чтобы убрать старую неактивную карту из виджета в мобильном приложении, Вам необходимо объединить эту карту с новой картой.	Для того чтобы убрать старую неактивную карту из виджета в мобильном приложении, Вам необходимо объединить эту карту с новой, активной картой. Для этого необходимо направить заявление на объединение карт через форму ОС на сайте gpnbonus.ru.
1009	0.7045248580519642	00000000-0001-0000-0018-000109749173	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	"Для входа в личный кабинет нужно вводить номер телефона. Для того чтобы старые карты не отображались в личном кабинете. Вам необходимо объединить эту карту с новой, активной картой. Для этого необходимо направить заявление на объединение карт:
•         через мессенджер Viber;
•         через форму ОС на сайте gpnbonus.ru;
•         с помощью онлайн консультанта на сайте;
•         с помощью онлайн консультанта в МП;
•         отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
•         оставив письменное заявление оператору АЗС.
В заявлении на объединение карт должны быть указаны:
•         номера всех карт;
•         телефоны, к которым привязаны карты;
•         подпись.
"
1115	0.9460676616814433	00000000-0001-0000-0018-000109749909	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.
1176	0.7719094272393158	00000000-0001-0000-0018-000109750347	Нет, таких АЗС нет.	Нет.
1186	0.9034845123390134	00000000-0001-0000-0018-000109750368	В акции может принять участие любой совершеннолетний пользователь мобильного приложения «Газпромнефть», привязавший к приложению свою банковскую карту, зарегистрированную в Программе лояльности платежной системы «Мир».	В акции может принять участие любой совершеннолетний пользователь приложения АЗС.GO, привязавший к приложению свою банковскую карту, зарегистрированную в Программе лояльности платежной системы «Мир».
1233	0.8201141017102208	00000000-0001-0000-0018-000109751102	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак
"
1234	0.9542070090235402	00000000-0001-0000-0018-000109751102	Привязка банковской карты в профиле:  - на карте (в правом верхнем углу) входим в «профиль»  - в «профиле» выбираем «способы оплаты» - в «способы оплаты» нажимаем вкладку «добавить новую карту» - заполняем данные карты в форму - после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет. - после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.	"Привязка банковской карты в профиле: 
- на карте (в правом верхнем углу) входим в «профиль» 
- в «профиле» выбираем «способы оплаты»
- в «способы оплаты» нажимаем вкладку «добавить новую карту»
- заполняем данные карты в форму
- после чего банком будет произведена привязка карты. С вашего счета будет произведен тестовый платеж на сумму 1 рубль, который будет возвращен вам обратно на счет.
- после привязки карты Вы увидите свою карту в разделе «способы оплаты», отличить ее сможете по значку платежной системы и последним 4 цифрам.
"
1265	0.6577693567051268	00000000-0001-0000-0018-000109751394	Установить мобильное приложение «Газпромнефть» (скачать в Google Play, App Store)Зарегистрироваться в программе лояльности «Мир». Это можно сделать двумя способами:на сайте «Привет, МИР» в профиле приложения «Газпромнефть» в разделе «Получить кэшбэк 10%», или нажав на баннер «Стать участником Акции» и указав номер банковской карты «Мир» В приложении «Газпромнефть» добавить карту “Мир” в Способы оплаты Совершить покупку и заправку топлива на сумму не менее 1500 рублей на АЗС сети «Газпромнефть» через мобильное приложение «Газпромнефть» с использованием карты «Мир».	Спасибо за ожидание. Нужно установить приложение АЗС.GO (скачать в Google Play, App Store), привязать к нему Вашу карту «Мир», нажать в приложении на баннер «Стать участником Акции» и указать номер карты «Мир». Потом совершить покупку топлива на сумму не менее 1500 рублей на АЗС «Газпромнефть» через мобильное приложение АЗС.GO с использованием карты «Мир». 
